amt,city_pop,recency,displacement,Time,merchant_,category_,gender_,location_,recency_segment_,is_fraud
482.92,163415,5084535.0,41.88493220676501,20,214,9,0,2,0,0
2.32,760,-44139440.0,43.80438634728785,15,17,12,0,2,1,0
41.39,4090,-14500605.0,148.12863356741008,18,665,10,0,1,1,0
3.41,1019,15577311.0,92.18536618566691,3,524,8,0,1,0,0
8.09,2856,-22533117.0,64.37002954446518,0,53,12,0,0,1,0
446.2,782,-1.0,19.520050705108527,22,286,13,1,2,1,0
22.1,478,-33404901.0,7.517724749716616,22,133,0,0,2,1,0
64.84,478,3159711.0,61.712043223135495,5,589,3,0,0,0,0
231.78,2408,-5835343.0,113.33455189137969,23,334,1,0,1,1,0
9.09,207410,-12714496.0,107.69900633018881,16,34,1,1,1,1,0
7.36,1228,-19782495.0,62.702815785185656,23,199,10,0,0,1,0
113.65,504,-26943368.0,86.94235651161192,0,585,3,0,0,1,0
24.18,601723,-36156094.0,136.64618085543555,21,456,6,1,1,1,0
200.97,10076,-2960338.0,140.7034079315969,13,483,12,0,1,1,0
23.18,1166,-18400697.0,91.70531221424105,21,461,6,0,1,1,0
1.69,19685,-13119576.0,93.88671265699136,20,353,13,0,1,1,0
161.69,460,-9582164.0,52.031486042150675,22,152,0,0,0,1,0
90.53,4729,42068841.0,82.18299914006768,15,257,7,1,0,0,0
72.39,595,-41701513.0,83.92625205953497,17,343,10,1,0,1,0
29.83,258,-42341668.0,69.5619829016776,18,257,7,1,0,1,0
72.06,595,-9022260.0,6.4089066275771955,20,662,0,1,2,1,0
53.76,129,-10732217.0,46.70655967048182,4,153,2,1,0,1,0
37.77,2092,-17697968.0,78.09362058389978,7,325,8,1,0,1,0
52.38,2408,-12032975.0,58.161636610612945,16,276,5,0,0,1,0
3.18,321490,-3448837.0,122.80579117933675,16,384,9,1,1,1,0
73.05,1847,-8396376.0,100.38293983104154,8,590,2,0,1,1,0
1.47,1923,30513765.0,122.37407155935165,5,670,12,0,1,0,0
114.77,3994,-27455521.0,87.45297158007226,16,2,1,0,0,1,0
79.45,2566,-31047138.0,96.5783040888631,8,103,2,0,1,1,0
7.49,3119,6144553.0,84.50241022898477,19,7,6,0,0,0,0
14.9,1363,-3058835.0,111.97849026121743,15,219,1,0,1,1,0
1.11,13061,-11368167.0,112.95738728040445,16,516,13,0,1,1,0
125.83,804,8187276.0,21.438097643785476,8,241,4,1,2,0,0
70.6,32891,-22398134.0,88.81920387383938,3,584,3,1,0,1,0
5.4,27971,24437662.0,113.87361364818825,20,252,12,0,1,0,0
76.31,79008,-1256758.0,131.70884367901965,1,608,4,1,1,1,0
33.01,910148,-28471118.0,97.01638521823257,7,650,3,0,1,1,0
39.43,5451,-36835056.0,52.5543090528079,20,679,6,1,0,1,0
57.46,4913,505774.0,46.552994741050014,1,229,2,0,0,0,0
4.07,927396,23242412.0,55.24685934281607,9,475,8,0,0,0,0
267.36,116155,-9706339.0,40.0711304914447,2,513,9,0,2,1,0
77.0,156391,-34449036.0,88.46983877752827,12,249,1,0,0,1,0
189.74,24536,3985756.0,40.188392932539045,8,494,4,0,2,0,0
68.27,1766,7804771.0,130.19905700806984,4,321,2,0,1,0,0
111.17,5354,2833333.0,106.78241297724512,21,495,7,1,1,0,0
7.19,238602,-25563479.0,106.34098815659219,16,141,12,1,1,1,0
128.31,123,-633081.0,148.94617053913103,2,483,12,1,1,1,0
9.54,190178,3024274.0,31.78239801741335,22,213,6,1,2,0,0
2.0,271,13123603.0,91.10797157206648,0,300,8,0,1,0,0
25.82,551,15400532.0,115.15825340412853,23,160,5,0,1,0,0
67.07,192,5009137.0,137.10233694934476,14,388,1,1,1,0,0
53.62,3119,-6684586.0,73.4795238141387,5,43,2,0,0,1,0
124.76,1383,-9149699.0,99.93863911205261,17,78,7,0,1,1,0
86.64,111,-13146046.0,84.49854537737983,19,300,8,1,0,1,0
126.0,190178,-7953476.0,103.12824100127389,17,413,6,1,1,1,0
20.64,1383,13948354.0,52.192362901759246,22,148,6,1,0,0,0
9.73,165556,33667412.0,19.417209163549053,14,256,11,0,2,0,0
7.91,42619,-32272862.0,65.16075126398677,15,70,9,1,0,1,0
85.09,391389,2543905.0,55.453768601096684,23,195,0,0,0,0,0
12.03,215,-7879984.0,66.09627214626697,16,274,5,0,0,1,0
5.34,28739,6134748.0,107.79389816238469,14,175,11,1,1,0,0
56.17,1841,30335608.0,104.46659939398816,15,553,7,1,1,0,0
24.5,1178,-6044717.0,91.5054828232305,0,214,9,0,1,1,0
1.74,237282,29821495.0,12.343158426028396,3,387,12,1,2,0,0
26.75,12335,-2248954.0,130.04359871321068,12,254,10,0,1,1,0
91.4,976,41916433.0,67.44684566731925,17,476,0,0,0,0,0
50.11,328,-14993710.0,104.34826609373178,17,282,11,0,1,1,0
31.77,5875,-4986009.0,72.1466062195822,22,249,1,0,0,1,0
32.58,540,-28467415.0,83.82080261541604,2,548,2,0,0,1,0
74.16,1532,1174411.0,100.09424904380388,20,124,5,1,1,0,0
11.65,1831,-18583522.0,90.55324506369607,14,279,6,1,1,1,0
6.49,1943,30838136.0,71.94873890908947,21,7,6,0,0,0,0
100.46,378909,-929717.0,101.3608912536676,11,615,9,0,1,1,0
203.65,413574,9113606.0,90.68985308970517,5,645,4,0,1,0,0
23.37,105549,6917587.0,29.098750177952024,18,230,1,1,2,0,0
25.37,602,-35473627.0,128.59805651892682,19,204,5,0,1,1,0
5.32,1412,25661326.0,100.61096494439785,20,295,11,0,1,0,0
113.0,836,7193124.0,41.88042423093834,5,130,4,0,2,0,0
15.07,2856,-22797568.0,138.2265918152773,20,408,10,0,1,1,0
33.45,48194,-4067912.0,57.17449153399052,13,263,0,1,0,1,0
202.91,186140,-5949849.0,111.04048011828509,23,687,11,0,1,1,0
15.59,1512,-22250913.0,73.83648115535486,3,18,3,1,0,1,0
44.67,7155,-2947655.0,87.40802604645933,20,553,7,0,0,1,0
21.23,571,6193695.0,18.675311236095357,21,78,7,1,2,0,0
111.71,338,12137986.0,110.84202859805482,21,644,0,0,1,0,0
9.89,217,36140479.0,56.39945761946732,8,149,8,0,0,0,0
8.83,165556,-34149468.0,43.831143554012534,16,80,5,0,2,1,0
69.3,276896,42862252.0,46.6407238493827,0,103,2,1,0,0,0
89.29,2457,718753.0,129.88261622744375,5,193,11,1,1,0,0
139.1,1075,1799006.0,69.72396027624339,19,615,9,0,0,0,0
12.01,111,-17232514.0,64.64492520433573,6,18,3,1,0,1,0
54.11,1841,-10973489.0,106.7755382684742,0,232,3,1,1,1,0
58.34,10295,4250135.0,51.974913916489534,19,270,4,0,0,0,0
62.57,601723,14984834.0,42.79167232998062,18,41,6,1,2,0,0
19.15,341043,9114763.0,88.30724553002904,16,561,1,1,0,0,0
74.82,4138,11454261.0,113.48123048997712,7,545,12,1,1,0,0
16.18,242,-2538991.0,85.63096183269602,12,628,5,0,0,1,0
109.63,3862,-38087757.0,110.39628362426672,11,73,4,0,1,1,0
3.4,14742,16461803.0,12.49131429943637,21,569,1,1,2,0,0
220.62,24536,35641057.0,100.07160365425999,2,86,4,0,1,0,0
5.69,217,14013100.0,93.23046759798262,18,335,13,0,1,0,0
4.3,5726,7319843.0,133.6852028891155,23,74,10,0,1,0,0
1.54,217,9232771.0,68.28726703778653,23,138,5,0,0,0,0
9.59,10076,6774652.0,68.00343853932198,20,403,12,0,0,0,0
1.46,2290,11060371.0,150.77032440226776,17,419,13,1,1,0,0
51.36,493806,8057183.0,44.6924798791793,5,463,2,1,2,0,0
2.7,1228,7037725.0,67.38797594254387,21,250,9,0,0,0,0
78.13,2060,-1.0,111.90115156070418,15,226,5,1,1,1,0
68.52,26551,25813654.0,117.68855382999382,14,576,1,0,1,0,0
48.76,601723,-14102940.0,75.3630949801278,20,166,5,0,0,1,0
541.14,1679,-27060961.0,89.81330627448901,13,67,12,0,0,1,0
64.99,9993,16661795.0,93.66307815646101,3,120,3,0,1,0,0
6.32,717255,26618543.0,73.6419537930113,11,640,12,0,0,0,0
16.83,50835,23862453.0,91.67723622636082,19,114,10,0,1,0,0
191.79,7155,24411500.0,127.42907270442898,3,602,4,0,1,0,0
22.68,3289,15807353.0,41.75067520625882,21,373,7,0,2,0,0
6.8,10076,-16571300.0,112.59495617425411,16,72,11,0,1,1,0
94.61,6006,-7967085.0,128.38135323160608,15,172,8,1,1,1,0
73.13,6006,6344620.0,71.77608630997088,6,103,2,1,0,0,0
88.21,95035,12512278.0,85.52925934081836,9,549,2,1,0,0,0
20.16,1089,15719890.0,98.12870864482672,21,83,9,0,1,0,0
67.17,34153,3438403.0,27.86779390481057,9,103,2,0,2,0,0
74.65,493806,26918811.0,124.08283822425435,1,285,2,1,1,0,0
581.22,344,9193422.0,73.66265485871419,4,670,12,0,0,0,0
691.2,413574,7218670.0,81.89492794117761,8,137,9,0,0,0,0
8.86,302,-9144711.0,64.64244962368961,17,573,1,0,0,1,0
523.51,965,-23721268.0,111.87670081095435,21,90,13,1,1,1,0
64.93,3085,-1.0,119.63963802279774,12,28,0,1,1,1,0
47.56,5161,-8144849.0,52.91226001001777,22,100,6,0,0,1,0
76.59,1442,13652507.0,47.17534613208211,7,354,8,1,0,0,0
58.04,9815,3140692.0,68.26851407531396,1,395,4,1,0,0,0
3.89,74,-344503.0,45.91332640186238,16,133,0,1,0,1,0
48.07,1165,-1040023.0,122.78467169896506,23,476,0,1,1,1,0
57.3,1063,28083210.0,103.42254809296887,11,542,3,1,1,0,0
39.18,467,-30263375.0,100.49642858297364,0,250,9,1,1,1,0
226.76,927396,-12116004.0,63.17893762937174,10,567,0,0,0,1,0
42.37,3996,-26955605.0,98.20920883071018,10,522,2,1,1,1,0
32.86,4090,-29275670.0,118.55814420365553,22,34,1,0,1,1,0
147.93,1925,-33688156.0,134.71809158475853,0,308,4,0,1,1,0
48.26,106,11481599.0,121.69171216398448,14,106,0,0,1,0,0
30.02,3996,2143108.0,95.94037776866296,9,600,3,1,1,0,0
135.37,1925,-16405087.0,63.0290730769368,8,25,4,0,0,1,0
3.05,50835,23067134.0,84.58864727848878,2,677,9,0,0,0,0
3.72,1766,-5403418.0,41.11180830682329,13,244,9,0,2,1,0
100.85,21902,14497826.0,62.41091859875771,18,168,5,0,0,0,0
4.69,1563,-22086328.0,52.75282284114094,12,104,1,0,0,1,0
73.51,27829,11677237.0,128.09555925488507,10,119,2,0,1,0,0
61.39,836,6486287.0,128.41542865276432,4,285,2,0,1,0,0
43.53,2395,1471257.0,90.80753102554992,0,650,3,1,1,0,0
1.09,19054,-8822372.0,131.02787954141735,18,254,10,1,1,1,0
5.71,165556,-12729211.0,80.99437908356727,21,531,12,0,0,1,0
538.42,25459,-2989913.0,101.30410089593359,9,236,0,1,1,1,0
56.55,626,3070223.0,26.11319255091176,22,370,1,1,2,0,0
55.08,502,-5645963.0,48.679022720086664,15,619,0,0,0,1,0
173.3,59744,-8371886.0,80.19005684825103,12,361,1,0,0,1,0
4.74,1228,-5555932.0,93.65974553312762,12,486,11,0,1,1,0
45.56,910148,-22828146.0,99.65257579973081,8,585,3,0,1,1,0
209.12,545147,-20356691.0,110.21281913344194,3,270,4,0,1,1,0
3.31,320,19209649.0,8.543884812730107,6,545,12,0,2,0,0
