amt,city_pop,recency,displacement,Time,merchant_,category_,gender_,location_,recency_segment_,is_fraud
2.13,100,33883539.0,81.86474143271728,19,523,8,0,0,0,0
57.72,757530,-20232194.0,99.62429604895702,1,497,2,1,1,1,0
8.09,84106,-23676401.0,70.06715211983442,14,349,12,0,0,1,0
218.23,753116,-3378647.0,140.18047112977567,9,94,4,0,1,1,0
108.92,337,-10213321.0,103.70371668941526,6,608,4,0,1,1,0
8.83,23,-9250606.0,84.41750601306572,7,417,9,0,0,1,0
195.42,145,3540027.0,128.27229172469276,13,30,10,1,1,0,0
82.3,450,18411673.0,82.90393213285124,21,440,10,1,0,0,0
493.02,341,14424855.0,68.02780151885673,20,568,13,1,0,0,0
3.5,6951,-19072400.0,103.9210297868263,19,616,11,0,1,1,0
1.48,475,3654436.0,76.64197156923015,22,215,1,0,0,0,0
23.58,2383912,-20281048.0,84.52469159253761,11,129,1,0,0,1,0
95.73,13061,25217646.0,92.14314155077504,0,407,2,0,1,0,0
78.34,35371,6018555.0,75.97674824020828,12,445,5,0,0,0,0
128.46,633,32808025.0,23.201674783451164,18,620,5,1,2,0,0
50.7,973849,2493394.0,50.49719815350565,23,46,6,0,0,0,0
1.6,8874,35684221.0,146.246572230194,23,545,12,0,1,0,0
43.21,85,-1404202.0,11.397542462987237,8,688,8,0,2,1,0
78.47,291,7261830.0,53.514492440409214,5,444,2,1,0,0,0
155.49,2054,-5412582.0,43.78303106129216,5,300,8,0,2,1,0
43.68,77,-40155952.0,75.35651201664881,3,444,2,0,0,1,0
86.22,46,-4876087.0,146.9151694902407,6,589,3,0,1,1,0
61.23,2504700,17939768.0,100.22148764024661,1,309,4,0,1,0,0
97.33,1446,-12819660.0,124.1653273844671,7,27,11,1,1,1,0
107.61,18128,16297774.0,108.036307819867,13,655,10,0,1,0,0
37.43,248,13492110.0,16.310580328638977,16,138,5,0,2,0,0
185.54,84106,-5695394.0,70.95231467604125,22,467,12,0,0,1,0
134.67,139,-188385.0,59.564939912648505,7,130,4,0,0,1,0
73.04,641,8482883.0,118.39793335582422,18,274,5,1,1,0,0
3.85,42384,-1398366.0,78.4808717741205,14,640,12,0,0,1,0
177.28,254282,33663610.0,104.02732597943566,17,44,10,1,1,0,0
10.38,76383,9484175.0,66.18521189175124,18,349,12,1,0,0,0
38.49,307,-12439044.0,85.44079939398023,9,235,8,0,0,1,0
122.11,686,-16454749.0,84.39161847900604,0,144,12,1,0,1,0
11.26,2691,-19794639.0,107.52176492875498,7,647,8,0,1,1,0
1.33,914,-661847.0,53.68932695010662,9,189,11,1,0,1,0
168.73,1789,-34857817.0,104.36787893158598,21,164,6,0,1,1,0
4.14,1533,-16674841.0,70.79629250616202,23,199,10,0,0,1,0
