amt,city_pop,recency,displacement,Time,merchant_,category_,gender_,location_,recency_segment_,is_fraud
4.72,973849,-1236792.0,87.84508727817946,15,27,11,0,0,1,0
50.84,299480,4166072.0,148.42079349532668,22,263,0,0,1,0,0
5.57,450,3224301.0,100.84712495874179,12,253,5,1,1,0,0
102.05,286,-1.0,98.4886146501317,11,329,4,1,1,1,0
5.46,248,12728345.0,65.11815939053413,0,473,12,0,0,0,0
69.61,85,-11309142.0,128.6519293825937,14,391,7,0,1,1,0
26.47,471,30125881.0,53.5930611673052,16,113,5,1,0,0,0
78.95,7268,-850097.0,95.09872091431527,15,182,10,1,1,1,0
8.02,759,-2792157.0,108.91650940601866,0,649,11,1,1,1,0
11.02,105549,33762457.0,58.11773728058214,13,571,5,1,0,0,0
5.56,687276,1614920.0,111.90320593358584,18,639,13,1,1,0,0
50.46,19408,-12331500.0,71.3606109218942,6,494,4,1,0,1,0
58.03,27971,-5199045.0,87.67159359430003,15,197,7,0,0,1,0
56.89,10717,-27055870.0,86.42816968269182,3,549,2,1,0,1,0
103.44,46,4274864.0,84.99052873922453,4,447,4,0,0,0,0
66.49,888,19776775.0,149.28748868773334,11,543,4,0,1,0,0
7.85,601723,-20250971.0,99.90620426904879,13,249,1,1,1,1,0
68.26,320420,-17639814.0,145.6517783687948,17,576,1,0,1,1,0
36.45,4354,-9171288.0,112.84962312093776,20,344,5,1,1,1,0
19.87,759,-16279078.0,49.49060763220089,16,14,5,1,0,1,0
2.5,1789,22260005.0,63.36077442448572,21,137,9,0,0,0,0
40.25,8874,-7148163.0,121.07632529677427,6,444,2,0,1,1,0
1.1,369,-206215.0,102.5182838307851,7,659,12,0,1,1,0
227.39,34496,-44344476.0,85.01875223456652,19,294,0,0,0,1,0
214.58,2523,8760763.0,86.56225908963017,11,239,4,0,0,0,0
5.38,18408,15808674.0,22.790236303937775,0,383,8,1,2,0,0
61.73,307,-21226683.0,83.63988754434733,1,625,2,0,0,1,0
83.68,129,17254328.0,93.79750000039802,20,556,10,1,1,0,0
31.67,124967,22273313.0,127.3873683017008,9,118,3,1,1,0,0
101.9,1446,-17053243.0,107.05377472548149,2,94,4,1,1,1,0
1.83,1312922,456776.0,104.51309070304379,20,54,10,0,1,0,0
75.55,1645,24795106.0,23.987498555947912,22,168,5,1,2,0,0
53.93,743,-23542443.0,71.43088460815942,2,117,2,0,0,1,0
5.47,2691,-23688192.0,113.38862489826893,13,425,12,0,1,1,0
40.15,85,-16435144.0,61.48190618021872,12,111,6,0,0,1,0
40.14,1478,36390534.0,24.091087398791522,17,507,5,0,2,0,0
70.76,914,-274671.0,124.4194955835055,0,539,3,1,1,1,0
78.15,1661,17426297.0,25.576526627877506,6,360,2,0,2,0,0
32.82,93193,24706531.0,66.1617058353192,15,288,0,1,0,0,0
65.07,1126,-644648.0,102.80530642376793,20,378,1,1,1,1,0
113.25,129,45441363.0,116.2751979464038,6,270,4,1,1,0,0
4.9,198,10731602.0,130.57521017277514,8,659,12,1,1,0,0
68.43,18408,2117631.0,74.97487060861518,20,374,0,1,0,0,0
40.72,42817,-14464591.0,109.10170066935343,17,312,10,0,1,1,0
24.67,17047,-11788577.0,54.699599146849394,19,123,5,0,0,1,0
29.5,27020,2507130.0,18.624420540594205,18,556,10,1,2,0,0
25.82,7268,-27309582.0,53.405151066716854,20,305,5,1,0,1,0
208.94,11256,-3480553.0,136.7301451187283,8,550,4,0,1,1,0
20.57,2036,-20180329.0,18.71185428052668,23,644,0,0,2,1,0
40.57,1925,-1.0,23.212046988359067,16,653,10,0,2,1,0
73.29,584,1856923.0,106.67984673888799,8,691,2,0,1,0,0
96.98,229,36437330.0,136.82979355643755,2,359,4,1,1,0,0
1516.24,450,-2211946.0,53.737711210025886,0,172,8,1,0,1,0
61.07,743,39668516.0,86.0744221060672,1,358,2,0,0,0,0
9.01,520,10915134.0,81.85509486037125,21,185,5,0,0,0,0
36.11,18182,-9080997.0,124.34855173289212,14,69,6,1,1,1,0
1.9,828,-16557598.0,91.45421332949644,3,79,8,1,1,1,0
3.42,1382480,-16068317.0,37.87827091117002,12,587,9,1,2,1,0
7.34,1789,13682320.0,51.12275735142371,20,440,10,0,0,0,0
6.04,145,-3991353.0,95.18677594390626,5,618,9,1,1,1,0
1.13,475,8167900.0,69.65428056389645,10,59,8,0,0,0,0
47.54,277,12269200.0,121.66205439481882,15,373,7,1,1,0,0
1.63,77,-15455244.0,96.0700895196599,20,161,10,0,1,1,0
33.59,241,-16933213.0,85.6509940124207,15,171,5,0,0,1,0
20.72,743,18669896.0,86.18491876043342,20,462,12,0,0,0,0
122.41,633,-3015554.0,105.7354105666905,1,20,4,1,1,1,0
